Gene,Main location,Other location,Expression type,Reliability
ENSG00000000003,Cytoplasm,Nucleoli,Staining,Uncertain
ENSG00000000005,Nucleus but not nucleoli,Mitochondria,Staining,Uncertain
ENSG00000000457,Cytoskeleton (Microtubules),Nucleus but not nucleoli;Golgi apparatus,Staining,Uncertain
ENSG00000000460,Nucleus but not nucleoli;Mitochondria,,APE,Low
ENSG00000001036,Nucleus but not nucleoli;Mitochondria,,APE,Low
ENSG00000001084,Nucleus,Nucleus but not nucleoli;Cytoplasm,Staining,Uncertain
ENSG00000001460,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000001461,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000001497,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000001561,Nucleus but not nucleoli;Vesicles,Mitochondria,Staining,Uncertain
ENSG00000001617,Nucleus;Nucleoli,Endoplasmic reticulum,Staining,Uncertain
ENSG00000001626,Cytoplasm,,Staining,Uncertain
ENSG00000001629,Plasma membrane,Nucleus but not nucleoli;Cytoplasm,Staining,Uncertain
ENSG00000001631,,,Staining,Uncertain
ENSG00000002330,Mitochondria,,Staining,Supportive
ENSG00000002549,Cytoplasm,,APE,Medium
ENSG00000002586,Golgi apparatus,Plasma membrane,Staining,Uncertain
ENSG00000002587,Cytoplasm,,Staining,Supportive
ENSG00000002726,,,APE,N/A
ENSG00000002745,Cytoplasm;Mitochondria;Golgi apparatus,,Staining,Uncertain
ENSG00000002746,Nucleus but not nucleoli;Cytoplasm,,APE,High
ENSG00000002822,Nucleus;Cytoskeleton (Actin filaments),Cytoplasm;Mitochondria,Staining,Supportive
ENSG00000002834,Plasma membrane;Cytoplasm;Focal Adhesions,,Staining,Uncertain
ENSG00000002919,Cytoplasm,,Staining,Uncertain
ENSG00000002933,Mitochondria,,Staining,Uncertain
ENSG00000003137,Cytoplasm,,Staining,Uncertain
ENSG00000003147,Nucleus but not nucleoli;Cytoplasm,,Staining,Supportive
ENSG00000003249,Nucleus,Cytoplasm,Staining,Uncertain
ENSG00000003400,Golgi apparatus,Cytoplasm,Staining,Uncertain
ENSG00000003402,Nucleoli;Nucleus but not nucleoli;Plasma membrane;Cytoplasm,Cell Junctions,Staining,Uncertain
ENSG00000003509,Cytoplasm,,Staining,Uncertain
ENSG00000003756,Nucleus but not nucleoli,,APE,High
ENSG00000003987,Nucleus,,Staining,Uncertain
ENSG00000003989,Cytoplasm,,Staining,Supportive
ENSG00000004139,Golgi apparatus,,APE,Low
ENSG00000004455,Plasma membrane,Nucleus but not nucleoli,Staining,Non-supportive
ENSG00000004468,Vesicles,,APE,Low
ENSG00000004478,Cytoplasm,Nucleus but not nucleoli,Staining,Supportive
ENSG00000004534,Nucleus but not nucleoli,,APE,Medium
ENSG00000004660,Cytoplasm,,Staining,Uncertain
ENSG00000004700,Nucleus but not nucleoli,Cytoskeleton (Microtubules),Staining,Supportive
ENSG00000004766,Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000004777,Plasma membrane,Cytoplasm;Cytoskeleton (Actin filaments),APE,Low
ENSG00000004809,Nucleus;Nucleoli,,Staining,Uncertain
ENSG00000004838,Plasma membrane,Cytoplasm,Staining,Uncertain
ENSG00000004846,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000004864,Mitochondria,,Staining,Supportive
ENSG00000004866,Nucleus but not nucleoli,Cytoplasm,APE,Medium
ENSG00000004897,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000004939,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000004948,Centrosome,,Staining,Non-supportive
ENSG00000004961,Mitochondria,,Staining,Supportive
ENSG00000004975,Nucleus;Nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000005007,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000005073,Cytoplasm,Nucleoli,Staining,Supportive
ENSG00000005102,Nucleoli,,Staining,Supportive
ENSG00000005156,Nucleus,,Staining,Supportive
ENSG00000005175,Plasma membrane;Cytoplasm,Cytoskeleton (Intermediate filaments);Centrosome,APE,Low
ENSG00000005189,,,Staining,Uncertain
ENSG00000005194,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000005249,Centrosome,Cytoplasm;Mitochondria;Golgi apparatus,Staining,Uncertain
ENSG00000005302,Nucleus;Nucleoli,,APE,Medium
ENSG00000005379,Nucleoli,Mitochondria,APE,Very low
ENSG00000005421,Plasma membrane;Cytoplasm;Cytoskeleton (Microtubules),,Staining,Uncertain
ENSG00000005448,,,Staining,Uncertain
ENSG00000005469,Vesicles,,APE,Medium
ENSG00000005700,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000005801,Nucleus,Cytoplasm;Vesicles,Staining,Uncertain
